acquisition	design	variant	contrast	logfc_floor	n_called	tp	fp	fdp	sensitivity
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.667	0	38	35	3	0.0789473684210526	0.875
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.5	0	47	37	10	0.212765957446809	0.925
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	1 - 0.125	0	56	40	16	0.285714285714286	1
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	0	35	32	3	0.0857142857142857	0.8
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	0	51	40	11	0.215686274509804	1
ms3	balanced	protein_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	0	45	39	6	0.133333333333333	0.975
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.667	0	1	1	0	0	0.025
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.5	0	20	20	0	0	0.5
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	1 - 0.125	0	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.5	0	0	0	0	NA	0
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	0.667 - 0.125	0	34	34	0	0	0.85
ms3	balanced	protein_drop_naive_robust_noridge_msqrob2	0.5 - 0.125	0	29	29	0	0	0.725
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.667	0	35	34	1	0.0285714285714286	0.85
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.5	0	38	37	1	0.0263157894736842	0.925
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	1 - 0.125	0	45	39	6	0.133333333333333	0.975
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.667 - 0.5	0	29	27	2	0.0689655172413793	0.675
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.667 - 0.125	0	44	39	5	0.113636363636364	0.975
ms3	balanced	protein_drop_mixed_ls_noridge_msqrob2	0.5 - 0.125	0	41	38	3	0.0731707317073171	0.95
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	1 - 0.667	0	1	1	0	0	0.025
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	1 - 0.5	0	15	15	0	0	0.375
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	1 - 0.125	0	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	0.667 - 0.5	0	0	0	0	NA	0
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	0.667 - 0.125	0	33	33	0	0	0.825
ms3	balanced	protein_drop_naive_ls_noridge_msqrob2	0.5 - 0.125	0	28	28	0	0	0.7
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	1 - 0.667	0	40	36	4	0.1	0.9
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	1 - 0.5	0	41	37	4	0.0975609756097561	0.925
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	1 - 0.125	0	56	40	16	0.285714285714286	1
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	0.667 - 0.5	0	35	32	3	0.0857142857142857	0.8
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	0.667 - 0.125	0	47	40	7	0.148936170212766	1
ms3	balanced	protein_keep_mixed_robust_noridge_msqrob2	0.5 - 0.125	0	46	39	7	0.152173913043478	0.975
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	1 - 0.667	0	1	1	0	0	0.025
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	1 - 0.5	0	20	20	0	0	0.5
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	1 - 0.125	0	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	0.667 - 0.5	0	0	0	0	NA	0
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	0.667 - 0.125	0	35	34	1	0.0285714285714286	0.85
ms3	balanced	protein_keep_naive_robust_noridge_msqrob2	0.5 - 0.125	0	29	29	0	0	0.725
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	1 - 0.667	0	34	33	1	0.0294117647058824	0.825
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	1 - 0.5	0	38	37	1	0.0263157894736842	0.925
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	1 - 0.125	0	45	40	5	0.111111111111111	1
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	0.667 - 0.5	0	28	26	2	0.0714285714285714	0.65
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	0.667 - 0.125	0	43	40	3	0.0697674418604651	1
ms3	balanced	protein_keep_mixed_ls_noridge_msqrob2	0.5 - 0.125	0	41	39	2	0.0487804878048781	0.975
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	1 - 0.667	0	1	1	0	0	0.025
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	1 - 0.5	0	15	15	0	0	0.375
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	1 - 0.125	0	37	36	1	0.027027027027027	0.9
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	0.667 - 0.5	0	0	0	0	NA	0
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	0.667 - 0.125	0	33	33	0	0	0.825
ms3	balanced	protein_keep_naive_ls_noridge_msqrob2	0.5 - 0.125	0	28	28	0	0	0.7
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	1 - 0.667	0	41	35	6	0.146341463414634	0.875
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	1 - 0.5	0	46	37	9	0.195652173913043	0.925
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	1 - 0.125	0	58	40	18	0.310344827586207	1
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	0.667 - 0.5	0	34	31	3	0.0882352941176471	0.775
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	0.667 - 0.125	0	49	40	9	0.183673469387755	1
ms3	balanced	protein_ratio_mixed_robust_noridge_msqrob2	0.5 - 0.125	0	46	39	7	0.152173913043478	0.975
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	1 - 0.667	0	33	33	0	0	0.825
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	1 - 0.5	0	38	37	1	0.0263157894736842	0.925
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	1 - 0.125	0	46	40	6	0.130434782608696	1
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	0.667 - 0.5	0	28	28	0	0	0.7
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	0.667 - 0.125	0	41	40	1	0.024390243902439	1
ms3	balanced	protein_ratio_naive_robust_noridge_msqrob2	0.5 - 0.125	0	40	39	1	0.025	0.975
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	1 - 0.667	0	35	34	1	0.0285714285714286	0.85
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	1 - 0.5	0	38	37	1	0.0263157894736842	0.925
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	1 - 0.125	0	45	39	6	0.133333333333333	0.975
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.667 - 0.5	0	29	27	2	0.0689655172413793	0.675
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.667 - 0.125	0	45	40	5	0.111111111111111	1
ms3	balanced	protein_ratio_mixed_ls_noridge_msqrob2	0.5 - 0.125	0	41	38	3	0.0731707317073171	0.95
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.667	0	29	29	0	0	0.725
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.5	0	38	37	1	0.0263157894736842	0.925
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	1 - 0.125	0	42	39	3	0.0714285714285714	0.975
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.667 - 0.5	0	20	20	0	0	0.5
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.667 - 0.125	0	40	39	1	0.025	0.975
ms3	balanced	protein_ratio_naive_ls_noridge_msqrob2	0.5 - 0.125	0	39	38	1	0.0256410256410256	0.95
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.667	0	38	35	3	0.0789473684210526	0.875
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.5	0	47	37	10	0.212765957446809	0.925
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	1 - 0.125	0	56	40	16	0.285714285714286	1
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.667 - 0.5	0	35	32	3	0.0857142857142857	0.8
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.667 - 0.125	0	51	40	11	0.215686274509804	1
ms3	balanced	protein_drop_run_only_robust_noridge_msqrob2	0.5 - 0.125	0	45	39	6	0.133333333333333	0.975
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.667	0	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.5	0	39	37	2	0.0512820512820513	0.925
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	1 - 0.125	0	45	40	5	0.111111111111111	1
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.667 - 0.5	0	33	31	2	0.0606060606060606	0.775
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.667 - 0.125	0	44	40	4	0.0909090909090909	1
ms3	balanced	protein_drop_mixed_robust_ridge_msqrob2	0.5 - 0.125	0	42	39	3	0.0714285714285714	0.975
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.667	0	7	7	0	0	0.175
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.5	0	26	24	2	0.0769230769230769	0.6
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	1 - 0.125	0	39	37	2	0.0512820512820513	0.925
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0	0	0	0	NA	0
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0	37	35	2	0.0540540540540541	0.875
ms3	balanced	protein_drop_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0	37	33	4	0.108108108108108	0.825
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.667	0	8	8	0	0	0.2
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.5	0	28	25	3	0.107142857142857	0.625
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	1 - 0.125	0	40	37	3	0.075	0.925
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0	1	1	0	0	0.025
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0	36	35	1	0.0277777777777778	0.875
ms3	balanced	protein_keep_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0	35	33	2	0.0571428571428571	0.825
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.667	0	32	32	0	0	0.8
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.5	0	40	37	3	0.075	0.925
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	1 - 0.125	0	44	40	4	0.0909090909090909	1
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.667 - 0.5	0	25	25	0	0	0.625
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.667 - 0.125	0	42	40	2	0.0476190476190476	1
ms3	balanced	protein_ratio_dupcor_mixture_ls_noridge_limma	0.5 - 0.125	0	42	38	4	0.0952380952380952	0.95
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.667	0	40	35	5	0.125	0.875
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.5	0	44	38	6	0.136363636363636	0.95
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	1 - 0.125	0	57	40	17	0.298245614035088	1
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.667 - 0.5	0	36	31	5	0.138888888888889	0.775
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.667 - 0.125	0	46	40	6	0.130434782608696	1
ms3	balanced	psm_drop_mixed_robust_noridge_msqrob2	0.5 - 0.125	0	45	39	6	0.133333333333333	0.975
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.667	0	39	36	3	0.0769230769230769	0.9
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.5	0	46	38	8	0.173913043478261	0.95
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	1 - 0.125	0	60	40	20	0.333333333333333	1
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.667 - 0.5	0	37	33	4	0.108108108108108	0.825
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.667 - 0.125	0	48	40	8	0.166666666666667	1
ms3	balanced	psm_keep_mixed_robust_noridge_msqrob2	0.5 - 0.125	0	43	39	4	0.0930232558139535	0.975
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.667	0	33	33	0	0	0.825
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.5	0	39	37	2	0.0512820512820513	0.925
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	1 - 0.125	0	50	39	11	0.22	0.975
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.667 - 0.5	0	24	23	1	0.0416666666666667	0.575
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.667 - 0.125	0	47	40	7	0.148936170212766	1
ms3	balanced	psm_drop_mixed_ls_noridge_msqrob2	0.5 - 0.125	0	44	39	5	0.113636363636364	0.975
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.667	0	35	35	0	0	0.875
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.5	0	39	37	2	0.0512820512820513	0.925
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	1 - 0.125	0	49	40	9	0.183673469387755	1
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.667 - 0.5	0	31	31	0	0	0.775
ms3	balanced	psm_drop_mixed_robust_ridge_msqrob2	0.667 - 0.125	0	44	40	4	0.0909090909090909	1
